Date,Country,Market_Type,Return
2000-10-10,France,DM,0.006249386608317552
2000-10-11,France,DM,-0.02822017180763977
2000-10-12,France,DM,0.0037193456545904654
2000-10-13,France,DM,0.00686650111767518
2000-10-16,France,DM,0.0026713331675022596
2000-10-17,France,DM,-0.0019157281117536385
2000-10-18,France,DM,-0.020879729259556078
2000-10-19,France,DM,0.017658138884148977
2000-10-20,France,DM,0.011119597216538256
2000-10-23,France,DM,0.00592096066859512
2000-10-24,France,DM,0.022481090299778104
2000-10-25,France,DM,-0.007480295538745362
2000-10-26,France,DM,-0.011482854536977232
2000-10-27,France,DM,0.007850749274349814
2000-10-30,France,DM,0.004296110283816147
2000-10-31,France,DM,0.015013678359794128
2000-11-01,France,DM,0.001704786399973872
2000-11-02,France,DM,-0.0010617189340657474
2000-11-03,France,DM,0.0002775304472829343
2000-11-06,France,DM,-0.006213698696096584
2000-11-07,France,DM,0.00634921513706363
2000-11-08,France,DM,-0.005485502123398835
2000-11-09,France,DM,-0.008309686938701355
2000-11-10,France,DM,-0.017135373797695835
2000-11-13,France,DM,-0.01844295279450125
2000-11-14,France,DM,0.027324274797621787
2000-11-15,France,DM,0.011377657591153658
2000-11-16,France,DM,-0.0018203380778468736
2000-11-17,France,DM,-0.016254206546457182
2000-11-20,France,DM,-0.01909203273188253
2000-11-21,France,DM,0.00634403565267255
2000-11-22,France,DM,-0.01846461432015707
2000-11-23,France,DM,0.015026649697329692
2000-11-24,France,DM,0.010727643930958656
2000-11-27,France,DM,0.0047996400678718765
2000-11-28,France,DM,-0.013121741391485926
2000-11-29,France,DM,-0.0013776176099616478
2000-11-30,France,DM,-0.01994308582065903
2000-12-01,France,DM,-0.0011637508821617708
2000-12-04,France,DM,-0.020860040072516288
2000-12-05,France,DM,0.027702249076476854
2000-12-06,France,DM,-0.001808419490941817
2000-12-07,France,DM,0.0004712063401573515
2000-12-08,France,DM,-0.006432246226558821
2000-12-11,France,DM,0.018600768601498674
2000-12-12,France,DM,-0.000385358828395205
2000-12-13,France,DM,-0.010231271280349815
2000-12-14,France,DM,-0.010245046870521498
2000-12-15,France,DM,-0.0116912732876925
2000-12-18,France,DM,0.011039551090479091
2000-12-19,France,DM,0.010335592858828941
2000-12-20,France,DM,-0.027958873047534707
2000-12-21,France,DM,-0.0030835526380347377
2000-12-22,France,DM,0.006399614862933959
2000-12-27,France,DM,0.01455013169835077
2000-12-28,France,DM,0.011013379651671462
2000-12-29,France,DM,0.0041989823869662
2001-01-02,France,DM,-0.017749706476019214
2001-01-03,France,DM,-0.020211720585708873
2001-01-04,France,DM,0.01635130901482356
2001-01-05,France,DM,-0.007266040199293543
2001-01-08,France,DM,-0.005678427684206751
2001-01-09,France,DM,-0.01128407972356183
2001-01-10,France,DM,-0.0029744617624794067
2001-01-11,France,DM,0.009122676367807819
2001-01-12,France,DM,0.019039199941736595
2001-01-15,France,DM,0.0006295253875596872
2001-01-16,France,DM,-0.010641234100684226
2001-01-17,France,DM,0.015297192916842173
2001-01-18,France,DM,-0.002416676527818749
2001-01-19,France,DM,-0.002755790040145609
2001-01-22,France,DM,0.004678071696916627
2001-01-23,France,DM,-0.007035976222606775
2001-01-24,France,DM,0.008606846871432068
2001-01-25,France,DM,0.0061869570437776055
2001-01-26,France,DM,0.0008272562816424278
2001-01-29,France,DM,-0.0031784554443822994
2001-01-30,France,DM,0.002375441098787961
2001-01-31,France,DM,0.01244422662510086
2001-02-01,France,DM,-0.013256123178034455
2001-02-02,France,DM,-0.008873233891867272
2001-02-05,France,DM,0.0017091642489122825
2001-02-06,France,DM,0.0044256337200545715
